カテゴリ,管理番号,施設名,郵便番号,所在地,法人・団体名,開設年月日,有効開始日,有効終了日
店舗販売業,30805-350,ドラッグコスモス夏見店,520-3223,湖南市夏見２１３１,株式会社コスモス薬品,,2022-01-01,2027-12-31
店舗販売業,30808-350,クスリのアオキ石部東店,520-3107,湖南市石部東六丁目４－１０,株式会社クスリのアオキ,,2022-01-01,2027-12-31
店舗販売業,30815-350,ドラッグユタカ　石部店,520-3106,湖南市石部中央六丁目１－３１,株式会社ユタカファーマシー,,2022-01-01,2027-12-31
店舗販売業,30823-350,クスリのアオキ　水口店,528-0005,甲賀市水口町水口６０２０－１,株式会社クスリのアオキ,,2022-01-01,2027-12-31
店舗販売業,30824-350,ドラッグジャパン　信楽店,529-1851,甲賀市信楽町長野１２９６－１,株式会社スギ薬局,,2022-01-01,2027-12-31
店舗販売業,30853-350,スーパーセンタートライアル湖南店,520-3233,湖南市柑子袋２５０－５,株式会社トライアルストアーズ,,2024-01-01,2029-12-31
店舗販売業,30871-350,ドラッグユタカ甲西店,520-3254,湖南市岩根中央三丁目７,株式会社ユタカファーマシー,,2024-01-01,2029-12-31
店舗販売業,30887-350,ドラッグコスモス甲南野田店,520-3308,甲賀市甲南町野田５０５－１,株式会社コスモス薬品,,2025-01-01,2030-12-31
店舗販売業,30893-350,ドラッグコスモス石部店,520-3106,湖南市石部中央四丁目７－４０,株式会社コスモス薬品,,2026-01-01,2031-12-31
店舗販売業,30896-350,ドラッグコスモス名坂店,528-0036,甲賀市水口町東名坂２８３－１,株式会社コスモス薬品,,2026-01-01,2031-12-31
店舗販売業,30897-350,ドラッグユタカ水口的場店,528-0000,甲賀市水口町的場１０６,株式会社ユタカファーマシー,,2026-01-01,2031-12-31
店舗販売業,30903-350,大野養真堂,528-0005,甲賀市水口町水口３２０５,有限会社大野養真堂,,2026-01-01,2031-12-31
店舗販売業,30906-350,ドラッグコスモス甲賀市役所前店,528-0005,甲賀市水口町水口６１９５,株式会社コスモス薬品,,2026-01-01,2031-12-31
店舗販売業,30912-350,クスリのアオキ土山店,528-0235,甲賀市土山町大野５００５－１,株式会社クスリのアオキ,,2021-03-31,2026-12-31
店舗販売業,30915-350,クスリのアオキ三雲店,520-3221,湖南市三雲２３８－５,株式会社クスリのアオキ,,2021-04-28,2026-12-31
店舗販売業,30924-350,クスリのアオキ甲賀店,520-3433,甲賀市甲賀町大原市場７９９,株式会社クスリのアオキ,,2022-01-19,2027-12-31
店舗販売業,30961-350,ゲンキー土山頓宮店,528-0232,甲賀市土山町前野１１７－１,ゲンキー株式会社,,2023-01-16,2029-01-15
店舗販売業,30967-350,ツルハドラッグ湖南岩根店,520-3252,湖南市岩根４５８０　イオンタウン湖南　１階,株式会社ツルハ,,2024-02-01,2029-12-31
店舗販売業,30971-350,ゲンキー甲南野田店,520-3308,甲賀市甲南町野田７９１－１,ゲンキー株式会社,,2024-04-01,2029-12-31
店舗販売業,31000-350,ドラッグユタカ甲西中央店,520-3234,湖南市中央一丁目４０－１,株式会社ユタカファーマシー,,2025-03-26,2030-12-31
店舗販売業,31006-350,ゲンキー信楽店,529-1851,甲賀市信楽町長野６７２,ゲンキー株式会社,,2025-05-26,2030-12-31
店舗販売業,31019-350,自然と漢方　サンポウ,520-3322,甲賀市甲南町深川２５３１－２,株式会社志貫堂,,2025-10-27,2030-12-31
店舗販売業,40004-350,太陽堂　本店,527-0029,東近江市八日市町１３－１５,株式会社太陽堂薬局,,2021-01-01,2026-12-31
店舗販売業,40037-350,ドラッグユタカ　五個荘店,529-1413,東近江市五個荘簗瀬町４－３,株式会社ユタカファーマシー,,2021-01-01,2026-12-31
店舗販売業,40282-350,島田薬品,520-2531,蒲生郡竜王町山之上４５８２－１,,,2022-01-01,2027-12-31
店舗販売業,40283-350,中村薬品,523-0005,近江八幡市末広町６７１,,,2024-01-01,2029-12-31
店舗販売業,40525-350,福地製薬株式会社　日野工場,529-1606,蒲生郡日野町寺尻８２４,福地製薬株式会社,,2023-01-01,2028-12-31
店舗販売業,40532-350,ドラッグユタカ　八日市店,527-0013,東近江市東中野町３１４,株式会社ユタカファーマシー,,2021-01-01,2026-12-31
店舗販売業,40599-350,片岡薬店,523-0005,近江八幡市末広町７３４,,,2023-01-01,2028-12-31
店舗販売業,40627-350,ドラッグユタカ　八日市御園店,527-0057,東近江市岡田町１１８,株式会社ユタカファーマシー,,2022-01-01,2027-12-31
店舗販売業,40685-350,ドラッグユタカ　能登川店,521-1224,東近江市林町２３６,株式会社ユタカファーマシー,,2022-01-01,2027-12-31
店舗販売業,40700-350,ＣｏＣｏドラ　フレンドマート能登川店,521-1221,東近江市垣見町１５１５　フレンドマート能登川店内,株式会社平和堂,,2023-01-01,2028-12-31
店舗販売業,40724-350,ケンユードラッグ,527-0016,東近江市今崎町１６３　ＭＥＧＡドン・キホーテＵＮＹ東近江店内,,,2024-01-01,2029-12-31
店舗販売業,40734-350,クスリキリン堂　東浜店,527-0021,東近江市八日市東浜町２－２４,株式会社キリン堂,,2021-01-01,2026-12-31
店舗販売業,41008-350,ドラッグユタカ　日野店,529-1601,蒲生郡日野町松尾９４８－１０,株式会社ユタカファーマシー,,2022-01-01,2027-12-31
